"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\DiagramPoint.java", "Java", 86, 9, 29, 124
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\DiagramValueDisplayComponent.java", "Java", 38, 0, 15, 53
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\DiagramValueLabel.java", "Java", 107, 3, 31, 141
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\HasAttachablePart.java", "Java", 6, 0, 4, 10
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\HeatMapLabel.java", "Java", 22, 0, 8, 30
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\HistogramBar.java", "Java", 17, 0, 4, 21
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\HoverLabel.java", "Java", 159, 3, 37, 199
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\Hoverable.java", "Java", 51, 0, 13, 64
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\PositionIn2DDiagram.java", "Java", 52, 12, 18, 82
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\PositionInDiagram.java", "Java", 58, 14, 20, 92
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\PositionInFrame.java", "Java", 43, 0, 13, 56
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\SolidAxis.java", "Java", 15, 0, 5, 20
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\SolidLine.java", "Java", 12, 0, 4, 16
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\components\ValueDisplayPoint.java", "Java", 13, 0, 4, 17
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\data\DiagramData.java", "Java", 182, 0, 54, 236
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\data\DiagramDataExtractionStrategy.java", "Java", 13, 0, 6, 19
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\data\ValueIndexExtractor.java", "Java", 63, 0, 23, 86
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\CoordinateIndicatorLine.java", "Java", 34, 3, 10, 47
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\CoordinateIndicatorLineDisplayer.java", "Java", 31, 0, 11, 42
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\DiagramViewHelper.java", "Java", 72, 0, 19, 91
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\DiagramViewHelperFactory.java", "Java", 33, 0, 12, 45
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\HelperLineDisplayer.java", "Java", 20, 0, 7, 27
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\IndicatorIdentifier.java", "Java", 9, 0, 2, 11
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\ValueLine.java", "Java", 29, 3, 11, 43
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\ValueLineDisplayer.java", "Java", 45, 0, 11, 56
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\ViewHelperComponent.java", "Java", 29, 0, 8, 37
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\XCoordinateIndicatorLineDisplayer.java", "Java", 28, 0, 8, 36
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\indicator\YCoordinateIndicatorLineDisplayer.java", "Java", 28, 0, 9, 37
